Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,1679811.75,102743.0703125,39230.34765625,42170.95703125,192.762344360352
F7,6612109.5,107659.0390625,51849.6640625,78978.453125,926.274963378906
F3,855302.375,103334.6640625,49990.484375,62809.22265625,302.204925537109
FC5,857367.6875,96322.296875,33193.8359375,56156.8046875,11.1794929504395
T7,643681.8125,48102.27734375,30207.40625,49664.24609375,8.4625358581543
P7,655166.5,147902.375,84548.203125,161843.046875,29.7966365814209
O1,7066912,108969.5,54593.88671875,80421.3984375,726.081420898438
O2,1710335.75,202046.46875,98087.3359375,119777.8515625,492.884796142578
P8,466771.03125,115426.796875,60804.109375,89795.7265625,44.8819694519043
T8,2833623.5,584134,112452.640625,107025.453125,729.861328125
FC6,1071010.875,124486.1328125,107998.6953125,185223.6875,75.3295593261719
F4,4283638.5,135726.8125,62854.1640625,80406.0546875,96.8902130126953
F8,802872.6875,86002.3125,29524.89453125,39491.23828125,71.8534545898438
AF4,5812237,176512.03125,68611.3125,92793.78125,52.6412086486816
