Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,-0.1809409,20.74948,430.541,20.74942,233.4318,-137.8917,371.3235,-0.9935169,1679811.75,102743.0703125,39230.34765625,42170.95703125,192.762344360352
F7,0.593904,49.73056,2473.129,49.73208,490.8654,-329.8132,820.6786,-0.04735834,6612109.5,107659.0390625,51849.6640625,78978.453125,926.274963378906
F3,-0.2516115,18.62178,346.7707,18.62272,145.3606,-142.7185,288.0791,-0.07730449,855302.375,103334.6640625,49990.484375,62809.22265625,302.204925537109
FC5,-0.1975156,15.12628,228.8044,15.12696,188.1621,-153.3464,341.5085,0.3824659,857367.6875,96322.296875,33193.8359375,56156.8046875,11.1794929504395
T7,0.07948743,13.54766,183.5391,13.54734,105.2524,-116.4659,221.7183,0.04890153,643681.8125,48102.27734375,30207.40625,49664.24609375,8.4625358581543
P7,0.01729167,15.06219,226.8696,15.06159,106.371,-94.45455,200.8256,0.3855614,655166.5,147902.375,84548.203125,161843.046875,29.7966365814209
O1,0.4957186,51.31417,2633.145,51.31448,506.9848,-312.1614,819.1462,-0.1188322,7066912,108969.5,54593.88671875,80421.3984375,726.081420898438
O2,0.386007,24.05442,578.6153,24.05654,225.6128,-276.0677,501.6805,0.8657075,1710335.75,202046.46875,98087.3359375,119777.8515625,492.884796142578
P8,0.009721974,12.65507,160.1507,12.65456,94.56715,-84.19151,178.7587,0.2677235,466771.03125,115426.796875,60804.109375,89795.7265625,44.8819694519043
T8,-0.4913893,31.84098,1013.848,31.84347,511.7891,-258.1297,769.9188,0.9794059,2833623.5,584134,112452.640625,107025.453125,729.861328125
FC6,-0.2520666,25.60985,655.8642,25.61005,142.7797,-220.5193,363.299,0.810636,1071010.875,124486.1328125,107998.6953125,185223.6875,75.3295593261719
F4,-0.06220191,37.95141,1440.31,37.94992,212.426,-380.218,592.644,0.1698553,4283638.5,135726.8125,62854.1640625,80406.0546875,96.8902130126953
F8,-0.06856183,18.10443,327.7702,18.10382,92.55849,-152.6629,245.2214,0.002930381,802872.6875,86002.3125,29524.89453125,39491.23828125,71.8534545898438
AF4,-0.07783964,39.98426,1598.741,39.98271,343.9992,-302.9298,646.9291,-0.8057033,5812237,176512.03125,68611.3125,92793.78125,52.6412086486816
