Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,-0.4523981,41.46348,1719.22,41.46405,381.9964,-209.4989,591.4953,-0.7863577,5563011,386401.125,85111.71875,86388.125,13.5705280303955
F7,-0.2518155,24.95091,622.5477,24.95103,132.6514,-183.7015,316.3529,0.2680126,1687427,221063.03125,68187.4921875,82286.09375,57.3774337768555
F3,-0.6111621,29.53903,872.5541,29.54401,217.0135,-227.0328,444.0463,-0.7215852,2506010.5,355463.34375,66021.4765625,55824.75390625,10.0191173553467
FC5,-0.7121112,24.63261,606.7653,24.64177,163.1227,-168.6936,331.8163,-0.6505188,1845432.625,238368.84375,61212.765625,69720.78125,379.997253417969
T7,0.3632371,126.4491,15989.39,126.4439,1014.844,-860.0677,1874.912,0.04473414,50996808,1342708.625,349965,271242.78125,1648.88354492188
P7,-0.9334139,30.85789,952.2095,30.87059,248.8447,-266.8061,515.6508,0.008150101,2105964.5,401712.75,81567.0078125,104168.9921875,14.4555511474609
O1,-0.1574246,25.71477,661.2494,25.71407,119.8495,-164.0395,283.8889,0.2613884,1831155.5,244832.46875,66195.859375,73768.46875,217.216674804688
O2,-0.7179369,39.27026,1542.153,39.27502,273.9164,-391.698,665.6144,0.1747584,3426274.25,796584.1875,467730.1875,853474.625,586.0048828125
P8,-0.3449512,19.70886,388.4393,19.71097,168.0961,-114.78,282.876,0.584011,1017320.875,358200.75,62082.53515625,80844.765625,48.5268325805664
T8,6.278461,184.5412,34055.47,184.6396,2554.912,-1290.45,3845.361,1.141533,100075976,6942123.5,2163661.75,1525508.125,38.2110633850098
FC6,-0.831424,28.96486,838.9634,28.97546,169.8141,-307.6827,477.4968,0.1401991,1345476.625,261873.921875,62962.19140625,60364.8203125,86.6404800415039
F4,-0.8288029,37.5868,1412.767,37.5942,270.1146,-360.724,630.8386,-0.2013336,3123979.25,404346.6875,101740.375,112952.609375,55.5786628723145
F8,-0.5999384,28.82314,830.7736,28.82806,262.4293,-161.0529,423.4823,-0.4402434,1810877.375,245645.515625,60312.52734375,59708.04296875,455.772766113281
AF4,-0.200322,44.78854,2006.013,44.78693,340.1081,-292.9537,633.0618,-0.2935473,5381795,330647.5,58980.79296875,51364.9765625,59.0560607910156
