latency,duration,type,marker_value,key,timestamp,marker_id
6.051278,0,start_gaze_1,1,-1,1783161113,1
6.855513,0,end_gaze_1,0,-1,1783161114,2
52.349418,0,start_gaze_2,1,-1,1783161159,3
52.747631,0,end_gaze_2,0,-1,1783161160,4
53.364471,0,distraction_audio_start,1,-1,1783161160,5
54.656712,0,start_gaze_3,1,-1,1783161162,6
55.168143,0,distraction_audio_end,1,-1,1783161162,7
55.355537,0,end_gaze_3,0,-1,1783161162,8
57.951731,0,start_gaze_4,1,-1,1783161165,9
58.252343,0,end_gaze_4,0,-1,1783161165,10
58.955072,0,start_gaze_5,1,-1,1783161166,11
60.056014,0,end_gaze_5,0,-1,1783161167,12
61.547362,0,start_gaze_6,1,-1,1783161168,13
62.550703,0,end_gaze_6,0,-1,1783161169,14
63.148023,0,start_gaze_7,1,-1,1783161170,15
64.354375,0,end_gaze_7,0,-1,1783161171,16
64.651082,0,start_gaze_8,1,-1,1783161171,17
65.658327,0,end_gaze_8,0,-1,1783161173,18
