Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
5.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
6.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
7.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
7.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
7.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
7.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
