Time(ms),ID,Gaze_X,Gaze_Y,Gaze_Z,TrackingObject,FixationDuration,PreviousAOI,CurrentAOI,PupilLeft,PupilRight,PupilCombined,SaccadeSpeed,HeadYaw,HeadPitch,Blink,LookAheadCarID,LookAheadCarType,LookAheadCarSpeed,Distance,LookAheadCar_PosX,LookAheadCar_PosY,LookAheadCar_PosZ
15,032_04Jul2026_1554,-2.097568,1.571038,-1.117524,Plane,14.2007,None,Plane,4.518151,4.123605,4.320878,177.8463,180,0,FALSE,,,0,3.93,0,0,0
15.1,032_04Jul2026_1554,-2.09588,1.618195,-1.119316,Plane,14.29735,None,Plane,4.518151,4.123605,4.320878,22.12741,180,0,FALSE,,,0,4.82,0,0,0
15.2,032_04Jul2026_1554,-2.085099,1.674689,-1.119982,Plane,14.39751,None,Plane,4.518151,4.123605,4.320878,38.08713,180,0,FALSE,,,0,6.63,0,0,0
15.3,032_04Jul2026_1554,-2.073369,1.726183,-1.119418,Plane,14.49748,None,Plane,4.518151,4.123605,4.320878,60.64642,180,0,FALSE,,,0,13.07,0,0,0
15.4,032_04Jul2026_1554,-2.063158,1.758179,-1.115476,Plane,14.59741,None,Plane,4.518151,4.123605,4.320878,55.58239,180,0,FALSE,,,0,20.08,0,0,0
15.5,032_04Jul2026_1554,-2.051438,1.772408,-1.111647,Plane,14.69739,None,Plane,4.518151,3.147588,3.83287,49.95535,180,0,FALSE,,,0,17.04,0,0,0
15.6,032_04Jul2026_1554,-2.042094,1.778,-1.109621,Plane,14.79753,None,Plane,4.518151,3.147588,3.83287,27.23035,180,0,FALSE,,,0,13.16,0,0,0
15.7,032_04Jul2026_1554,-2.0365,1.781119,-1.10832,Plane,14.89697,None,Plane,4.518151,3.147588,3.83287,100.8226,180,0,FALSE,,,0,18.27,0,0,0
15.8,032_04Jul2026_1554,-2.034299,1.78237,-1.107522,Plane,14.99728,None,Plane,4.518151,3.147588,3.83287,30.6529,180,0,FALSE,,,0,14.96,0,0,0
15.9,032_04Jul2026_1554,-2.035284,1.78163,-1.106878,Plane,15.09738,None,Plane,4.518151,3.147588,3.83287,8.715928,180,0,FALSE,,,0,13.23,0,0,0
16,032_04Jul2026_1554,-2.037774,1.779481,-1.104146,Plane,15.20175,None,Plane,3.603431,3.147588,3.375509,12.09077,180,0,FALSE,,,0,12.2,0,0,0
16.1,032_04Jul2026_1554,-2.039834,1.778363,-1.101961,Plane,15.30215,None,Plane,3.603431,3.147588,3.375509,46.5754,180,0,FALSE,,,0,11.14,0,0,0
16.2,032_04Jul2026_1554,-2.042543,1.777789,-1.102153,Plane,15.40193,None,Plane,3.603431,3.147588,3.375509,10.9764,180,0,FALSE,,,0,11.4,0,0,0
16.3,032_04Jul2026_1554,-2.045744,1.777579,-1.104272,Plane,15.50182,None,Plane,3.603431,3.147588,3.375509,2.343174,180,0,FALSE,,,0,11.75,0,0,0
16.4,032_04Jul2026_1554,-2.047626,1.777093,-1.105242,Plane,15.60227,None,Plane,3.603431,3.147588,3.375509,0.880692,180,0,FALSE,,,0,11.62,0,0,0
16.5,032_04Jul2026_1554,-2.048387,1.779708,-1.104499,Plane,15.70184,None,Plane,3.603431,3.150322,3.376876,10.31121,180,0,FALSE,,,0,12.65,0,0,0
16.6,032_04Jul2026_1554,-2.048641,1.779854,-1.104137,Plane,15.80205,None,Plane,3.603431,3.150322,3.376876,7.388475,180,0,FALSE,,,0,12.74,0,0,0
16.7,032_04Jul2026_1554,-2.049154,1.778815,-1.104294,Plane,15.90163,None,Plane,3.603431,3.150322,3.376876,2.016219,180,0,FALSE,,,0,13.28,0,0,0
16.8,032_04Jul2026_1554,-2.047895,1.778899,-1.102613,Plane,16.00175,None,Plane,3.603431,3.150322,3.376876,3.669849,180,0,FALSE,,,0,13.27,0,0,0
16.9,032_04Jul2026_1554,-2.046788,1.779471,-1.101084,Plane,16.10334,None,Plane,3.603431,3.150322,3.376876,2.478541,180,0,FALSE,,,0,13.47,0,0,0
17,032_04Jul2026_1554,-2.047379,1.779619,-1.100247,Plane,16.20205,None,Plane,3.479119,3.150322,3.314721,1.202533,180,0,FALSE,,,0,13.37,0,0,0
17.1,032_04Jul2026_1554,-2.049139,1.778406,-1.100156,Plane,16.30338,None,Plane,3.479119,3.150322,3.314721,6.646123,180,0,FALSE,,,0,12.48,0,0,0
17.2,032_04Jul2026_1554,-2.051047,1.776386,-1.100778,Plane,16.40205,None,Plane,3.479119,3.150322,3.314721,8.473244,180,0,FALSE,,,0,11.68,0,0,0
17.3,032_04Jul2026_1554,-2.05014,1.777544,-1.099855,Plane,16.5063,None,Plane,3.479119,3.150322,3.314721,47.56273,180,0,FALSE,,,0,8.89,0,0,0
17.4,032_04Jul2026_1554,-2.043958,1.777944,-1.093003,Plane,16.60598,None,Plane,3.479119,3.150322,3.314721,200.0919,180,0,FALSE,,,0,5.43,0,0,0
17.5,032_04Jul2026_1554,-2.034044,1.775798,-1.082349,Plane,16.70598,None,Plane,3.479119,3.220407,3.349763,34.8845,180,0,FALSE,,,0,4.62,0,0,0
17.6,032_04Jul2026_1554,-2.02202,1.77407,-1.070321,Plane,16.80513,None,Plane,3.479119,3.220407,3.349763,33.06524,180,0,FALSE,,,0,4.39,0,0,0
17.7,032_04Jul2026_1554,-2.010571,1.773309,-1.060589,Plane,16.9071,None,Plane,3.479119,3.220407,3.349763,19.40293,180,0,FALSE,,,0,4.26,0,0,0
17.8,032_04Jul2026_1554,-2.005088,1.772737,-1.056397,Plane,17.00567,None,Plane,3.770176,3.220407,3.495291,6.014606,180,0,FALSE,,,0,4.28,0,0,0
17.9,032_04Jul2026_1554,-2.0048,1.771497,-1.056082,Plane,17.10608,None,Plane,3.770176,3.220407,3.495291,13.43246,180,0,FALSE,,,0,4.26,0,0,0
18,032_04Jul2026_1554,-2.00706,1.769871,-1.057592,Plane,17.20523,None,Plane,3.770176,3.220407,3.495291,11.68429,180,0,FALSE,,,0,4.26,0,0,0
18.1,032_04Jul2026_1554,-2.009792,1.768527,-1.060391,Plane,17.30521,None,Plane,3.770176,3.220407,3.495291,5.546963,180,0,FALSE,,,0,4.27,0,0,0
18.2,032_04Jul2026_1554,-2.012154,1.768398,-1.063055,Plane,17.40518,None,Plane,3.770176,3.220407,3.495291,7.530161,180,0,FALSE,,,0,4.3,0,0,0
18.3,032_04Jul2026_1554,-2.012573,1.768464,-1.065663,Plane,17.50518,None,Plane,3.770176,3.223029,3.496603,28.38117,180,0,FALSE,,,0,4.59,0,0,0
18.4,032_04Jul2026_1554,-2.012058,1.769448,-1.06778,Plane,17.60547,None,Plane,3.770176,3.223029,3.496603,70.80913,180,0,FALSE,,,0,7.2,0,0,0
18.5,032_04Jul2026_1554,-2.011537,1.77098,-1.070068,Plane,17.70504,None,Plane,3.770176,3.223029,3.496603,19.01114,180,0,FALSE,,,0,8.14,0,0,0
18.6,032_04Jul2026_1554,-2.011698,1.772231,-1.072311,Plane,17.80485,None,Plane,3.770176,3.223029,3.496603,11.10981,180,0,FALSE,,,0,8.67,0,0,0
18.7,032_04Jul2026_1554,-2.01263,1.773062,-1.074343,Plane,17.90541,None,Plane,3.770176,3.223029,3.496603,10.74178,180,0,FALSE,,,0,9.55,0,0,0
18.8,032_04Jul2026_1554,-2.013792,1.773534,-1.075357,Plane,18.00528,None,Plane,3.608387,3.223029,3.415708,24.36837,180,0,FALSE,,,0,13.41,0,0,0
18.9,032_04Jul2026_1554,-2.01462,1.772975,-1.07527,Plane,18.10502,None,Plane,3.608387,3.223029,3.415708,10.76673,180,0,FALSE,,,0,16.18,0,0,0
19,032_04Jul2026_1554,-2.014745,1.772032,-1.073351,Plane,18.20522,None,Plane,3.608387,3.223029,3.415708,8.256844,180,0,FALSE,,,0,17.04,0,0,0
19.1,032_04Jul2026_1554,-2.015976,1.772645,-1.071593,Plane,18.30533,None,Plane,3.608387,3.223029,3.415708,56.63119,180,0,FALSE,,,0,10.58,0,0,0
19.2,032_04Jul2026_1554,-2.019324,1.773042,-1.071204,Plane,18.40517,None,Plane,3.608387,3.223029,3.415708,26.14399,180,0,FALSE,,,0,10.04,0,0,0
19.3,032_04Jul2026_1554,-2.023314,1.773421,-1.071829,Plane,18.49793,None,Plane,3.608387,2.985636,3.297012,110.3748,180,0,FALSE,,,0,11.09,0,0,0
19.4,032_04Jul2026_1554,-2.029735,1.773602,-1.073617,Plane,18.59721,None,Plane,3.608387,2.985636,3.297012,84.02798,180,0,FALSE,,,0,9.9,0,0,0
19.5,032_04Jul2026_1554,-2.038209,1.77165,-1.079119,Plane,18.6977,None,Plane,3.608387,2.985636,3.297012,39.77983,180,0,FALSE,,,0,8.67,0,0,0
19.6,032_04Jul2026_1554,-2.047722,1.770256,-1.085609,Plane,18.79739,None,Plane,3.608387,2.985636,3.297012,31.78043,180,0,FALSE,,,0,8.26,0,0,0
19.7,032_04Jul2026_1554,-2.05499,1.769587,-1.092294,Plane,18.89755,None,Plane,3.608387,2.985636,3.297012,22.50545,180,0,FALSE,,,0,7.86,0,0,0
19.8,032_04Jul2026_1554,-2.059129,1.771676,-1.094919,Plane,18.99718,None,Plane,3.665028,2.985636,3.325332,13.35245,180,0,FALSE,,,0,7.9,0,0,0
19.9,032_04Jul2026_1554,-2.060635,1.772956,-1.09741,Plane,19.09748,None,Plane,3.665028,2.985636,3.325332,11.8625,180,0,FALSE,,,0,8.76,0,0,0
20,032_04Jul2026_1554,-2.060606,1.770719,-1.101795,Plane,19.19735,None,Plane,3.665028,2.985636,3.325332,20.73445,180,0,FALSE,,,0,9.32,0,0,0
20.1,032_04Jul2026_1554,-2.060213,1.772757,-1.103393,Plane,19.29822,None,Plane,3.665028,2.985636,3.325332,8.845277,180,0,FALSE,,,0,10.25,0,0,0
20.2,032_04Jul2026_1554,-2.060204,1.773828,-1.1068,Plane,19.39839,None,Plane,-1,-1,-1,1328.089,180,0,TRUE,,,0,19.24,0,0,0
20.3,032_04Jul2026_1554,-2.061006,1.773551,-1.111339,Plane,19.49851,None,Plane,-1,-1,-1,1352.037,180,0,TRUE,,,0,21.26,0,0,0
20.4,032_04Jul2026_1554,-2.061021,1.772783,-1.113096,Plane,19.59834,None,Plane,3.665028,2.985636,3.325332,912.487,180,0,FALSE,,,0,16.94,0,0,0
20.5,032_04Jul2026_1554,-2.060724,1.774139,-1.116645,Plane,19.69837,None,Plane,3.665028,2.985636,3.325332,10.62363,180,0,FALSE,,,0,13.08,0,0,0
20.6,032_04Jul2026_1554,-2.060368,1.774966,-1.122568,Plane,19.79851,None,Plane,3.665028,2.985636,3.325332,15.4616,180,0,FALSE,,,0,11.98,0,0,0
20.7,032_04Jul2026_1554,-2.060702,1.775725,-1.128846,Plane,19.9016,None,Plane,3.665028,2.985636,3.325332,36.19887,180,0,FALSE,,,0,11.44,0,0,0
20.8,032_04Jul2026_1554,-2.060218,1.775257,-1.135032,Plane,20.00146,None,Plane,3.665028,3.180753,3.422891,38.20391,180,0,FALSE,,,0,12.6,0,0,0
20.9,032_04Jul2026_1554,-2.058973,1.774817,-1.142986,Plane,20.14085,None,Plane,3.665028,3.180753,3.422891,19.7594,180,0,FALSE,,,0,12.22,0,0,0
21,032_04Jul2026_1554,-2.057102,1.774735,-1.147455,Plane,20.20189,None,Plane,3.665028,3.180753,3.422891,28.29956,180,0,FALSE,,,0,12.17,0,0,0
21.1,032_04Jul2026_1554,-2.055224,1.773672,-1.151196,Plane,20.30165,None,Plane,3.665028,3.180753,3.422891,39.27065,180,0,FALSE,,,0,12.97,0,0,0
21.2,032_04Jul2026_1554,-2.052989,1.771727,-1.159694,Plane,20.40162,None,Plane,3.665028,3.180753,3.422891,35.11387,180,0,FALSE,,,0,14.08,0,0,0
21.3,032_04Jul2026_1554,-2.051316,1.772113,-1.168165,Plane,20.50164,None,Plane,3.692357,3.180753,3.436555,24.75082,180,0,FALSE,,,0,15.57,0,0,0
21.4,032_04Jul2026_1554,-2.048972,1.772578,-1.172045,Plane,20.60141,None,Plane,3.692357,3.180753,3.436555,9.568876,180,0,FALSE,,,0,15.25,0,0,0
21.5,032_04Jul2026_1554,-2.047376,1.77239,-1.171605,Plane,20.70129,None,Plane,3.692357,3.180753,3.436555,6.1813,180,0,FALSE,,,0,14.48,0,0,0
21.6,032_04Jul2026_1554,-2.046762,1.771898,-1.170885,Plane,20.80166,None,Plane,3.692357,3.180753,3.436555,41.36062,180,0,FALSE,,,0,10.14,0,0,0
21.7,032_04Jul2026_1554,-2.046931,1.77256,-1.17004,Plane,20.90156,None,Plane,3.692357,3.180753,3.436555,15.98128,180,0,FALSE,,,0,8.46,0,0,0
21.8,032_04Jul2026_1554,-2.04747,1.772948,-1.168183,Plane,21.00156,None,Plane,3.692357,3.347642,3.52,7.952436,180,0,FALSE,,,0,7.8,0,0,0
21.9,032_04Jul2026_1554,-2.046772,1.773713,-1.167203,Plane,21.10152,None,Plane,3.692357,3.347642,3.52,5.502684,180,0,FALSE,,,0,7.49,0,0,0
22,032_04Jul2026_1554,-2.045753,1.775517,-1.168859,Plane,21.20254,None,Plane,3.692357,3.347642,3.52,14.75154,180,0,FALSE,,,0,7.63,0,0,0
22.1,032_04Jul2026_1554,-2.044666,1.775902,-1.173349,Plane,21.30296,None,Plane,-1,3.347642,1.173821,715.0225,180,0,TRUE,,,0,13.16,0,0,0
22.2,032_04Jul2026_1554,-2.044413,1.776748,-1.180178,Plane,21.40189,None,Plane,3.574633,3.347642,3.461138,842.3566,180,0,FALSE,,,0,11.81,0,0,0
