Time(ms),ID,Gaze_X,Gaze_Y,Gaze_Z,TrackingObject,FixationDuration,PreviousAOI,CurrentAOI,PupilLeft,PupilRight,PupilCombined,SaccadeSpeed,HeadYaw,HeadPitch,Blink,LookAheadCarID,LookAheadCarType,LookAheadCarSpeed,Distance,LookAheadCar_PosX,LookAheadCar_PosY,LookAheadCar_PosZ
0.1,id,-2.161849,1.158764,-1.573938,None,0,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.2,id,-2.161774,1.158796,-1.573985,None,0.1000977,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.3,id,-2.161731,1.158814,-1.574042,None,0.2000961,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.4,id,-2.161779,1.15877,-1.574181,None,0.3001099,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.5,id,-2.161654,1.158751,-1.573921,None,0.3999634,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.6,id,-2.161692,1.158728,-1.573775,None,0.4999619,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.7,id,-2.161452,1.158853,-1.573376,None,0.6005478,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.8,id,-2.161621,1.158876,-1.573586,None,0.7000122,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
0.9,id,-2.161535,1.158917,-1.573573,None,0.8002472,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1,id,-2.161529,1.158911,-1.573385,None,0.9002457,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.1,id,-2.161348,1.159044,-1.57324,None,1.000801,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.2,id,-2.161432,1.159141,-1.573445,None,1.100075,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.3,id,-2.161555,1.159152,-1.573655,None,1.200165,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.4,id,-2.161354,1.159068,-1.573471,None,1.299973,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.5,id,-2.161382,1.159153,-1.573571,None,1.401085,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.6,id,-2.16134,1.159169,-1.573666,None,1.501335,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
1.7,id,-2.161197,1.159308,-1.573891,None,1.601295,,None,-1,-1,-1,0,180,0,TRUE,None,None,,,,,
