Time(ms),ID,Gaze_X,Gaze_Y,Gaze_Z,TrackingObject,FixationDuration,PreviousAOI,CurrentAOI,PupilLeft,PupilRight,PupilCombined,SaccadeSpeed,HeadYaw,HeadPitch,Blink,LookAheadCarID,LookAheadCarType,LookAheadCarSpeed,Distance,LookAheadCar_PosX,LookAheadCar_PosY,LookAheadCar_PosZ
9.2,033_04Jul2026_1601,-1.500763,1.929875,-0.4803668,Plane,0.8972893,None,Plane,4.219556,4.211061,4.215308,108.2392,180,0,FALSE,,,0,7.22,0,0,0
9.3,033_04Jul2026_1601,-1.481645,1.930364,-0.4752604,Plane,1.005093,None,Plane,3.785749,3.858962,3.822356,111.015,180,0,FALSE,,,0,31.54,0,0,0
9.4,033_04Jul2026_1601,-1.462311,1.933645,-0.4703694,Plane,1.104908,None,Plane,3.838624,3.93447,3.886547,7.300845,180,0,FALSE,,,0,29.02,0,0,0
9.5,033_04Jul2026_1601,-1.445159,1.936867,-0.4655816,Plane,1.203484,None,Plane,3.764743,3.898503,3.831623,3.370028,180,0,FALSE,,,0,31.92,0,0,0
9.6,033_04Jul2026_1601,-1.432731,1.937748,-0.4591336,Plane,1.303707,None,Plane,3.83641,3.976988,3.906699,9.358602,180,0,FALSE,,,0,30.41,0,0,0
9.7,033_04Jul2026_1601,-1.432365,1.935104,-0.4507328,Plane,1.403875,None,Plane,3.963489,4.032968,3.998228,37.41183,180,0,FALSE,,,0,31.66,0,0,0
9.8,033_04Jul2026_1601,-1.450365,1.926773,-0.4401736,Plane,1.504626,None,Plane,3.615978,4.018041,3.81701,159.7967,180,0,FALSE,,,0,40.17,0,0,0
9.9,033_04Jul2026_1601,-1.478658,1.925523,-0.4313681,Plane,1.603877,None,Plane,4.076494,4.421703,4.249098,253.3853,180,0,FALSE,,,0,12.29,0,0,0
10,033_04Jul2026_1601,-1.505976,1.929246,-0.422563,Plane,1.703835,None,Plane,4.227968,4.441379,4.334673,31.68069,180,0,FALSE,,,0,11.23,0,0,0
10.1,033_04Jul2026_1601,-1.536576,1.938985,-0.4162367,Plane,1.803361,None,Plane,4.162962,4.360668,4.261815,30.17345,180,0,FALSE,,,0,11.82,0,0,0
10.2,033_04Jul2026_1601,-1.573104,1.949636,-0.4059669,Plane,1.903683,None,Plane,4.203169,4.429607,4.316388,43.44623,180,0,FALSE,,,0,13.37,0,0,0
10.3,033_04Jul2026_1601,-1.608989,1.956188,-0.3912427,Plane,2.003691,None,Plane,4.160127,4.352616,4.256371,12.24674,180,0,FALSE,,,0,14.27,0,0,0
10.4,033_04Jul2026_1601,-1.637531,1.959333,-0.3769374,Plane,2.107244,None,Plane,3.940242,4.093508,4.016875,50.79108,180,0,FALSE,,,0,18.37,0,0,0
10.5,033_04Jul2026_1601,-1.657091,1.959547,-0.3650236,Plane,2.196343,None,Plane,3.849478,4.044796,3.947137,256.2579,180,0,FALSE,,,0,23.81,0,0,0
10.6,033_04Jul2026_1601,-1.673161,1.954931,-0.3504072,Plane,2.296005,None,Plane,3.723437,3.94385,3.833643,33.99742,180,0,FALSE,,,0,23.69,0,0,0
10.7,033_04Jul2026_1601,-1.686435,1.947529,-0.3364527,Plane,2.396022,None,Plane,3.742681,3.896196,3.819438,27.25536,180,0,FALSE,,,0,34.51,0,0,0
10.8,033_04Jul2026_1601,-1.706585,1.947856,-0.3351906,None,0,Plane,None,3.668558,3.816975,3.742766,84.86691,180,0,FALSE,None,None,,,,,
10.9,033_04Jul2026_1601,-1.738193,1.954125,-0.3383785,None,0.09960461,Plane,None,3.727775,3.919525,3.82365,22.24999,180,0,FALSE,None,None,,,,,
11,033_04Jul2026_1601,-1.766325,1.947261,-0.3174289,Plane,0,None,Plane,4.026147,4.250044,4.138095,177.6473,180,0,FALSE,,,0,28.74,0,0,0
11.1,033_04Jul2026_1601,-1.791823,1.944993,-0.2934262,Plane,0.1003542,None,Plane,3.998915,4.277499,4.138207,24.03327,180,0,FALSE,,,0,24.95,0,0,0
11.2,033_04Jul2026_1601,-1.811555,1.948268,-0.2650424,Plane,0.2005768,None,Plane,4.128063,4.338182,4.233122,27.32871,180,0,FALSE,,,0,20.57,0,0,0
11.3,033_04Jul2026_1601,-1.822231,1.949668,-0.2394347,Plane,0.3003788,None,Plane,4.204894,4.281634,4.243264,10.59868,180,0,FALSE,,,0,17.31,0,0,0
11.4,033_04Jul2026_1601,-1.828422,1.950357,-0.2133554,Plane,0.3999729,None,Plane,4.106814,4.20273,4.154772,18.22496,180,0,FALSE,,,0,14.58,0,0,0
11.5,033_04Jul2026_1601,-1.827335,1.951777,-0.1840497,Plane,0.4998598,None,Plane,4.066919,4.225158,4.146039,107.478,180,0,FALSE,,,0,7.3,0,0,0
11.6,033_04Jul2026_1601,-1.82747,1.95322,-0.1564412,Plane,0.6002026,None,Plane,4.003366,4.135374,4.06937,13.26938,180,0,FALSE,,,0,7.83,0,0,0
11.7,033_04Jul2026_1601,-1.830746,1.94352,-0.1387816,Plane,0.7005911,None,Plane,3.909607,4.015216,3.962412,36.30864,180,0,FALSE,,,0,8.78,0,0,0
11.8,033_04Jul2026_1601,-1.832454,1.931431,-0.1287449,Plane,0.8001699,None,Plane,3.823316,3.898364,3.86084,40.97937,180,0,FALSE,,,0,11.2,0,0,0
11.9,033_04Jul2026_1601,-1.830149,1.93032,-0.1252621,Plane,0.89995,None,Plane,3.849106,3.916238,3.882672,11.53508,180,0,FALSE,,,0,12.32,0,0,0
12,033_04Jul2026_1601,-1.826897,1.938763,-0.1392364,Plane,0.9999495,None,Plane,3.845948,3.910179,3.878063,31.13088,180,0,FALSE,,,0,18.28,0,0,0
12.1,033_04Jul2026_1601,-1.825251,1.946049,-0.1682334,Plane,1.100377,None,Plane,3.969316,3.998375,3.983846,42.39961,180,0,FALSE,,,0,27.69,0,0,0
