Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,5924402.5,167236.734375,57193.77734375,73740.90625,139.474487304688
F7,1514581,81092.1484375,52729.33984375,91489.96875,8.34321594238281
F3,5980551.5,351556.5,106709.21875,108642.0546875,50.5209884643555
FC5,2578299.5,142967.734375,59636.296875,85345.6484375,47.6550216674805
T7,10096206,226950.4375,60645.796875,91961.609375,953.241577148438
P7,1443096.875,88777.859375,44571.5703125,73567.640625,16.953296661377
O1,3584181.25,108687.3984375,56223.328125,80015.109375,95.1872863769531
O2,1391218,81389.25,53028.4609375,85643.046875,127.807723999023
P8,149220912,8062405.5,1812248.375,1925532.375,52.8462905883789
T8,19157628,644599.75,159406.953125,162346.59375,280.858642578125
FC6,1234439.75,63361.01953125,31742.5546875,62268.72265625,143.560272216797
F4,1587625,127624.921875,73481.3984375,115418.1484375,146.994857788086
F8,4592097.5,178481.3125,48271.703125,70219.484375,10.7878293991089
AF4,3271630,187948.3125,104826.4453125,159993.203125,91.0390472412109
