Channel,Mean_Before,Mean_After,Variance_Before,Variance_After
AF3,0.9274217,0.9320365,13500.48,13313.95
F7,-1.048584,-1.002802,3466.648,3393.388
F3,-0.9105868,-0.8795564,2362.027,2298.784
FC5,0.5322915,0.5136909,5446.363,5277.714
T7,-2.263416,-2.124003,103094.2,102666.9
P7,-0.1966209,-0.1753772,2352.017,2264.457
O1,0.851402,0.8197909,2738.092,2603.72
O2,-1.326289,-1.292749,9178.112,9060.828
P8,0.3822143,0.3612461,3848.525,3719.276
T8,-1.997939,-1.981942,73854.23,73596.41
FC6,1.201079,1.148641,4348.186,4115.162
F4,0.2758181,0.255635,2651.677,2595.16
F8,0.7244501,0.690797,4783.44,4700.828
AF4,2.848751,2.73459,15433.88,15156.41
