Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,1213089,103105.234375,74107.4296875,99886.875,10.9779396057129
F7,503686.5625,41488.94921875,36583.51171875,58738.1171875,113.90518951416
F3,1077205,108504.5078125,49553.3984375,71894.03125,6.38767528533936
FC5,3603181.25,168467,102969.703125,115158.03125,28.1856517791748
T7,656640.4375,53607.65234375,40541.16796875,56988.56640625,46.455207824707
P7,3558831.75,217092.171875,66646.59375,83672.984375,108.79475402832
O1,748639.5,77516.2890625,37798.93359375,56552.40625,425.964477539062
O2,6820827.5,186600.90625,129096.5,134215.65625,206.918167114258
P8,12326998,683235.125,215907,220083.109375,200.596282958984
T8,2069864.875,285789.875,80308.765625,95193.9921875,216.672058105469
FC6,724988.875,150786.109375,175677.65625,283019.65625,443.942474365234
F4,390162.6875,41383.43359375,28012.134765625,39054.86328125,137.652359008789
F8,18649952,1777534.75,425934.125,443364.8125,619.504089355469
AF4,1334853.375,144488.859375,85974.8828125,128344.3359375,85.9856033325195
