Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,2.276144,54.22082,2939.897,54.26231,250.0711,-338.0294,588.1006,3.305216,3164683.5,208049.765625,139858.984375,278545.84375,177.3154296875
F7,-0.02237997,33.25321,1105.776,33.24938,164.2465,-200.5189,364.7654,-1.313355,689917.5,48447.0625,53240.59375,115763.875,4.71421003341675
F3,0.9473999,42.92351,1842.427,42.929,228.104,-203.317,431.421,-0.04413626,1509764.875,94323.390625,53265.2578125,77239.0078125,398.352233886719
FC5,-2.038703,96.61327,9334.124,96.62361,528.1306,-542.1295,1070.26,3.496606,8523524,504584.21875,153356.734375,150092.921875,1178.15393066406
T7,0.5032421,51.92404,2696.106,51.92045,218.3221,-328.7749,547.097,-0.7898558,2186793.75,259049.40625,108394.578125,172934.375,98.6266098022461
P7,-1.596332,80.85709,6537.87,80.86353,415.0016,-309.6252,724.6268,-4.485682,5645809,487577.6875,190065.625,240789.21875,102.344665527344
O1,-1.876902,70.2667,4937.41,70.28364,466.1062,-360.4268,826.533,1.589516,5127954.5,324983.09375,232276.40625,459531.65625,805.296997070312
O2,0.2723453,118.4034,14019.37,118.3901,769.1838,-503.6658,1272.85,2.204418,13083787,264231.21875,183412.71875,461237.0625,31.7697410583496
P8,-0.2547207,34.82735,1212.945,34.82426,193.9877,-140.0879,334.0757,-3.197679,1041813.25,70651.734375,43841.01953125,94819.3125,57.9617004394531
T8,0.3771654,32.96604,1086.76,32.96439,155.0208,-169.3336,324.3544,-0.9980153,712456.375,54149.8046875,54473.87890625,119845.1875,7.0429482460022
FC6,0.5364555,32.53266,1058.374,32.53332,136.4176,-178.2601,314.6777,1.893423,1081062.375,80811.53125,42749.359375,80449.6640625,92.1961822509766
F4,1.435046,35.0479,1228.356,35.07322,156.4226,-163.438,319.8606,1.013501,1143822.125,83782.7734375,36086.796875,57630.9453125,230.285232543945
F8,-1.742288,56.34475,3174.73,56.36518,210.5201,-456.649,667.1691,1.879547,2879550.5,372199.5625,105645.796875,130420.8359375,1041.45678710938
AF4,1.183528,73.95256,5468.981,73.9535,307.1085,-400.5657,707.6742,-0.8699694,4984887,377835.75,339473,863874.25,102.000137329102
