Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,0.9274217,116.1915,13500.48,116.1797,565.4919,-353.2972,918.7891,-5.269942,7362938,598319.8125,180943.46875,194936.421875,16.8995113372803
F7,-1.048584,58.87825,3466.648,58.87968,232.1775,-318.0339,550.2115,-0.5485867,3518293.5,184680.65625,49990.109375,94734.109375,37.2956962585449
F3,-0.9105868,48.60069,2362.027,48.6027,195.6535,-188.8713,384.5248,-5.766284,1876445.875,137568.0625,54361.9296875,84578.5078125,87.5469741821289
FC5,0.5322915,73.79948,5446.363,73.7915,366.251,-227.7476,593.9986,3.389939,6351228.5,241219.625,117581.40625,214703.015625,16.7713375091553
T7,-2.263416,321.0829,103094.2,321.0478,2653.807,-840.0403,3493.848,-19.79481,121913408,5838260,583975,204057.328125,241.565902709961
P7,-0.1966209,48.4976,2352.017,48.4915,111.6005,-224.5736,336.1741,2.273073,2255717.5,108754.359375,54743.90234375,117087.7734375,168.510620117188
O1,0.851402,52.32678,2738.092,52.32668,206.2837,-269.0225,475.3062,3.117749,2446792.25,216943.28125,105994.1796875,175138.328125,9.99017143249512
O2,-1.326289,95.80247,9178.112,95.79878,254.2585,-556.9023,811.1609,8.527399,10317053,396659.4375,106055.75,136562.859375,18.5591201782227
P8,0.3822143,62.03648,3848.525,62.02934,391.5537,-311.5123,703.066,4.635805,4402515,272994.25,118001.453125,152205.546875,15.7959814071655
T8,-1.997939,271.7614,73854.23,271.7323,1804.102,-827.7657,2631.868,-13.28104,49726736,1056454,108509.796875,125877.453125,159.950866699219
FC6,1.201079,65.94077,4348.186,65.94289,215.1604,-337.7497,552.9101,3.085348,4068949.75,204413.34375,199087.40625,277356.5,10.2919015884399
F4,0.2758181,51.49443,2651.677,51.48827,200.117,-276.544,476.6609,2.391372,2728197.5,136458.46875,55796.5546875,68658.078125,42.2282791137695
F8,0.7244501,69.16242,4783.44,69.15693,211.8654,-351.2404,563.1058,-1.988388,5847134,213088.28125,69932.0390625,100361.921875,8.86386680603027
AF4,2.848751,124.2332,15433.88,124.2492,417.7295,-585.3339,1003.063,15.91591,15712613,497056.28125,237324.65625,340672.5,26.8025436401367
