23.72643,46.05284,10.25882,-26.11527,138.4218,44.47667,-28.83449,19.7138,-12.8301,-7.405977,-48.04184,-28.58097,-30.05037,-100.7914
72.78429,39.22088,55.36972,-3.73278,89.22207,52.60543,-40.19729,39.56727,-23.32165,-39.668,-52.39939,-38.42139,-39.88644,-111.1427
113.225,48.40285,66.91583,5.078905,32.37303,42.29017,-17.28124,60.70333,-27.88832,-66.27856,-38.49893,-24.20753,-73.97665,-120.8578
157.1274,29.81474,61.07283,-9.412695,7.382744,38.88259,13.82289,66.49042,-38.4646,-117.7256,-44.72863,-9.385296,-94.58242,-60.29433
146.7267,25.76236,62.23957,18.56707,-46.41429,53.84459,22.5606,90.56361,-31.49726,-173.426,-93.22427,31.10009,-88.66264,-18.14006
140.17,26.7395,60.78601,14.02517,-98.43199,35.79471,27.06749,84.63335,-20.64864,-192.8405,-42.59567,45.5239,-65.52692,-14.69635
117.7903,23.20934,84.28669,3.892728,-67.58327,13.79502,34.67824,127.4254,-24.36905,-232.5581,-50.25901,66.28585,-87.42712,-9.166954
116.8492,26.27273,41.95917,15.99086,-21.2045,6.821927,46.10701,116.1428,-10.1649,-212.2474,-35.36337,47.45567,-85.08354,-53.53563
149.8392,22.0468,6.746566,28.77501,69.67484,-1.572781,39.11624,54.39548,23.71182,-173.4183,-39.66502,4.636523,-57.57821,-126.7082
176.9339,-21.28137,-16.07608,17.95425,105.158,-18.07404,21.01827,8.335059,21.17042,-128.7519,-25.44282,-3.832114,-42.49932,-94.61227
159.9639,-19.17348,-27.07737,41.07805,76.19098,-22.28115,31.59582,-29.53736,39.29562,-91.6844,-41.21152,-13.61061,-12.16765,-91.38084
140.5396,-2.342696,2.307144,11.10911,54.23795,-13.32248,33.78741,-25.7647,50.21266,-72.47297,-68.18945,-12.27441,-15.14854,-82.67865
149.2747,-9.730804,10.51442,18.02567,-9.488348,-19.50273,28.32672,-41.09611,42.90551,-47.4014,-38.06853,-14.57656,-1.770853,-67.41169
97.58559,1.935711,29.08125,10.98046,-34.82639,-11.42704,36.66165,7.450361,29.52944,-62.11478,-47.84975,2.926732,-24.01851,-35.91475
69.20245,-3.677916,21.20373,-10.15772,-11.73113,-19.08643,41.39224,24.38207,18.72264,-41.25444,-35.56612,5.824884,-45.41096,-13.84331
62.64011,-3.564802,1.849466,-0.9548103,-7.145793,-10.16377,33.6107,-10.8448,28.70019,-34.87408,-27.11065,2.491057,-32.73332,-1.899509
55.1857,-15.62346,13.77895,5.013998,-15.58341,-23.58456,21.26967,-19.18647,-11.0006,-26.05921,-19.29827,18.82143,-20.52402,36.79022
72.18962,-28.26376,-2.54585,-10.22016,-1.977792,-26.06325,41.1882,-29.67733,-12.61829,-44.48409,-17.61121,11.80642,-19.42755,67.70499
35.62838,-9.234584,9.997569,-15.12286,17.18645,-7.75193,11.54855,-11.94774,-9.83524,-43.55807,-3.190624,10.36915,-24.208,40.11893
2.309379,-11.42204,-6.736222,-16.62646,35.09797,-5.809983,4.81288,-19.8034,-4.389091,-2.724523,1.614742,2.169659,-20.48048,41.98755
-13.26533,-6.395317,-15.1091,-12.10688,20.19575,3.648484,5.226582,-24.46739,-12.3305,13.7675,1.905776,2.489958,-20.93656,57.37703
-36.4282,1.361265,1.69761,11.00396,13.72183,-1.562553,-4.190974,-17.49402,-29.45254,18.59075,10.01354,2.900145,-19.86781,49.70699
-48.14052,-0.1622515,-12.22797,-13.09602,4.927082,-12.00737,15.22727,-18.78083,-23.56781,26.00017,6.046095,12.61767,-2.77835,65.94283
-61.14899,18.31072,-3.523174,-10.66692,-11.82733,1.229243,25.10737,2.866284,-14.15674,29.15456,-1.749389,-1.737743,-14.42129,42.56341
-60.55463,22.76299,7.088822,5.300559,-13.45043,5.808869,23.40715,-1.116273,-33.6828,33.19868,-14.21903,-5.171411,-20.25171,50.87922
-41.43278,6.457459,24.36104,-5.612661,-103.2737,3.06256,32.27803,-3.180539,-32.42186,26.9237,-0.6758863,5.728015,-17.43926,105.2259
-38.2453,-22.20191,45.29422,-13.40814,-250.2186,-11.34312,0.1913119,-12.51942,-23.53213,20.37722,28.92757,66.71986,50.47087,159.4875
-47.37604,-21.53978,44.32421,-3.131557,-379.2304,-42.46418,-1.917104,-15.0907,-22.5892,2.41535,68.21073,132.4124,116.3292,169.647
-83.74044,-22.44102,21.54802,-4.23254,-442.7603,-61.97041,10.59175,-12.1833,21.22059,26.08745,135.8448,125.6616,139.3619,147.0119
-131.2814,-17.53672,0.5640948,-16.78454,-449.2421,-34.68894,13.73061,-7.090107,42.50007,54.33061,148.4692,93.89603,148.3576,154.7756
-149.2236,-16.61192,-8.746948,-4.943329,-411.8998,-10.95072,1.093439,-12.05792,22.03666,77.00608,120.9599,86.89951,129.3019,177.1368
-137.2478,-63.27007,-31.90464,5.680062,-331.7931,-41.31062,-8.393543,-53.67417,-0.7637907,108.8544,130.1361,65.89538,154.6006,203.1912
-129.2447,-79.15758,-57.42841,-28.69891,-256.833,-56.19226,10.8589,-59.60384,6.698269,109.2705,132.9,40.73623,171.8449,194.8499
-139.5427,-54.53085,-51.14893,-43.43815,-184.7896,-50.14029,-3.046963,-33.04626,18.23296,101.8345,127.6902,30.69699,163.588,117.641
-130.5112,-15.25885,-26.79934,-44.36177,-154.4023,-46.92674,7.771038,11.91431,-7.811976,71.46915,112.2597,28.79235,141.5312,52.33443
-107.0268,-30.47888,-26.25355,-28.41553,-165.1151,-59.87557,15.52285,1.930147,-1.257328,72.62271,97.51011,36.2598,129.3923,65.18477
-102.0539,-14.51993,-31.48661,-37.90744,-197.0345,-40.95182,25.12969,8.046375,19.08302,87.85238,111.4176,19.2936,103.1536,49.97797
-91.53896,0.6804801,-11.91502,-29.93447,-217.429,-33.23243,41.50225,26.09536,19.04826,56.45722,105.3791,19.2015,60.46189,55.22383
-110.6782,-9.363047,-19.17011,-7.583764,-214.5726,-42.10856,34.48855,15.53401,25.59063,34.2767,104.4928,51.06615,46.28397,91.74347
-128.7602,0.997888,-11.0541,-2.540828,-157.2298,-21.07431,36.60075,16.06721,23.38267,32.42314,94.93847,10.828,13.7077,91.71336
