Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,-0.4547825,47.54556,2260.58,47.5453,246.8085,-142.4559,389.2643,-3.163824,5924402.5,167236.734375,57193.77734375,73740.90625,139.474487304688
F7,0.1750863,24.17047,584.2118,24.16986,171.1356,-134.5094,305.645,0.3552974,1514581,81092.1484375,52729.33984375,91489.96875,8.34321594238281
F3,0.09072347,47.99692,2303.705,47.99454,216.3012,-200.5359,416.8372,0.8074569,5980551.5,351556.5,106709.21875,108642.0546875,50.5209884643555
FC5,0.118955,33.21358,1103.142,33.2121,211.5729,-136.7532,348.326,-1.890002,2578299.5,142967.734375,59636.296875,85345.6484375,47.6550216674805
T7,-0.7311633,54.57673,2978.619,54.57882,314.1957,-202.5086,516.7043,-1.173835,10096206,226950.4375,60645.796875,91961.609375,953.241577148438
P7,0.160577,23.6708,560.3067,23.67013,167.5543,-121.6387,289.1931,0.4361044,1443096.875,88777.859375,44571.5703125,73567.640625,16.953296661377
O1,0.2032363,36.71311,1347.852,36.71178,212.6357,-248.9243,461.56,-0.2637089,3584181.25,108687.3984375,56223.328125,80015.109375,95.1872863769531
O2,0.2510741,23.92983,572.6368,23.92992,171.2608,-134.6082,305.869,0.0603148,1391218,81389.25,53028.4609375,85643.046875,127.807723999023
P8,0.1743312,225.0015,50625.67,224.99,1384.242,-2520.85,3905.093,2.663245,149220912,8062405.5,1812248.375,1925532.375,52.8462905883789
T8,0.331125,90.65187,8217.762,90.6478,757.1557,-410.4843,1167.64,-0.5744318,19157628,644599.75,159406.953125,162346.59375,280.858642578125
FC6,0.1765394,22.39474,501.5244,22.39428,159.2883,-105.7102,264.9985,0.3559282,1234439.75,63361.01953125,31742.5546875,62268.72265625,143.560272216797
F4,-0.04079406,23.12317,534.681,23.12201,140.9334,-109.3099,250.2433,-1.314922,1587625,127624.921875,73481.3984375,115418.1484375,146.994857788086
F8,-0.1113113,42.30196,1789.456,42.29994,186.3624,-151.4252,337.7875,-2.470877,4592097.5,178481.3125,48271.703125,70219.484375,10.7878293991089
AF4,-0.3435901,33.56717,1126.755,33.56721,178.6954,-125.5895,304.285,-2.298995,3271630,187948.3125,104826.4453125,159993.203125,91.0390472412109
