Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,5619383.5,244174.453125,84917.765625,93892.0234375,736.715576171875
F7,537481.125,34901.71484375,22514.408203125,43689.05078125,3.30558490753174
F3,1534890.75,56086.38671875,19470.869140625,22653.64453125,7.13184690475464
FC5,1603167.5,218382.234375,52968.078125,67278.875,5.43957233428955
T7,814681.5,54312.68359375,24710.5078125,46652.36328125,18.8051433563232
P7,6055620,289586.25,95420.5625,93983.2578125,408.238006591797
O1,19626794,306600,138061.046875,273438.5625,239.704376220703
O2,1638362.625,149417.90625,146491.140625,341325.59375,29.8598728179932
P8,4619944.5,355472.46875,128630.9921875,95981.15625,428.368988037109
T8,14790184,590592.5,183185.953125,196165.5,7.90172863006592
FC6,882153.5,227060,420185,750694.125,55.6027603149414
F4,464159.5625,43890.15234375,17569.259765625,28289.80078125,25.8137512207031
F8,2042668.25,169404.15625,39859.39453125,48993.3515625,18.3880844116211
AF4,8980132,234224.6875,120541.5234375,170498.90625,15.7761096954346
