Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,-0.07261917,34.54368,1193.266,34.53952,147.9576,-95.36359,243.3212,-1.212801,1213089,103105.234375,74107.4296875,99886.875,10.9779396057129
F7,0.3446597,24.36497,593.6519,24.36442,92.67208,-104.7067,197.3788,1.158659,503686.5625,41488.94921875,36583.51171875,58738.1171875,113.90518951416
F3,-0.3482181,32.76209,1073.355,32.75992,108.9876,-147.4704,256.4579,-1.107287,1077205,108504.5078125,49553.3984375,71894.03125,6.38767528533936
FC5,0.7706127,53.72693,2886.583,53.72587,191.0807,-248.5707,439.6514,1.576022,3603181.25,168467,102969.703125,115158.03125,28.1856517791748
T7,0.137501,26.94349,725.9518,26.94053,99.06599,-98.93777,198.0038,1.103898,656640.4375,53607.65234375,40541.16796875,56988.56640625,46.455207824707
P7,0.2687516,61.85764,3826.367,61.85062,313.345,-235.1403,548.4854,1.695354,3558831.75,217092.171875,66646.59375,83672.984375,108.79475402832
O1,0.7218691,30.83159,950.5872,30.83625,144.6793,-107.8579,252.5372,-0.3244856,748639.5,77516.2890625,37798.93359375,56552.40625,425.964477539062
O2,0.8541648,83.93893,7045.744,83.93297,318.5373,-737.2042,1055.741,9.886713,6820827.5,186600.90625,129096.5,134215.65625,206.918167114258
P8,-1.473234,105.4034,11109.88,105.4007,683.8235,-442.7295,1126.553,-3.68226,12326998,683235.125,215907,220083.109375,200.596282958984
T8,-0.009609946,45.72319,2090.61,45.71758,234.1825,-150.0702,384.2527,-0.4609457,2069864.875,285789.875,80308.765625,95193.9921875,216.672058105469
FC6,-0.8830643,30.26819,916.1631,30.27735,123.4939,-133.2139,256.7079,-0.6642005,724988.875,150786.109375,175677.65625,283019.65625,443.942474365234
F4,0.4852142,22.76355,518.1793,22.76592,108.5947,-125.1018,233.6965,0.979488,390162.6875,41383.43359375,28012.134765625,39054.86328125,137.652359008789
F8,0.05474439,123.6912,15299.52,123.6761,418.6932,-756.1655,1174.859,3.219353,18649952,1777534.75,425934.125,443364.8125,619.504089355469
AF4,-0.8507704,35.56244,1264.687,35.56825,139.2684,-127.4594,266.7279,-1.440256,1334853.375,144488.859375,85974.8828125,128344.3359375,85.9856033325195
